Symbol_Code,Group,Industries_Group,Table,En_Symbol,EN_name,Code,Name,Symbol
IRB5IKCO8751,N2,خودرو و ساخت قطعات,فهرست اوليه,IKCQ1,Iran Khodro-D,62616504891233280,اوراق مشاركت ايران‌ خودرو,18719101
IRO1CONT0001,N1,ابزارپزشکي، اپتيکي و اندازه‌گيري,تابلو فرعي,CONT1,Iran Counter,44834847569322522,كنتورسازي‌ايران‌,آكنتور
IRO1ASIA0001,N1,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,تابلو فرعي,ASIA1,Asia Bime,51106317433079213,بيمه آسيا,آسيا
IRO1APPE0001,N2,رايانه و فعاليت‌هاي وابسته به آن,فهرست اوليه,APPE1,Asan Pardakht Pers,55254206302462116,آسان پرداخت پرشين,آپ
IRR1CONT0101,N1,ابزارپزشکي، اپتيکي و اندازه‌گيري,تابلو فرعي,CONX1,Iran Counter-R,57329318081089375,ح . كنتورسازي‌ايران‌,آكنتورح
IRR1OFOG0101,N2,خرده فروشي،باستثناي وسايل نقليه موتوري,فهرست اوليه,OFOX1,Ofogh Koorosh-R,1911343624441437,ح .فروشگاه زنجيره اي افق كوروش,افقح
IRR1BALB0101,N1,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,تابلو اصلي,BABX1,Alborz Bimeh-R,12231544096052404,ح.بيمه البرز,البرزح
IRO1BENB0001,N2,فعاليتهاي كمكي به نهادهاي مالي واسط,فهرست اوليه,BENB1,Activists Energy B,16330743198286823,فعالان بورس انرژي,انرژي2
IRO1OMID0001,N2,فعاليتهاي كمكي به نهادهاي مالي واسط,فهرست اوليه,OMID1,Investment Banking,18599703143458101,تامين سرمايه اميد,اميد
IRO1MKBT0001,N1,مخابرات,تابلو اصلي,MKBT1,Iran Tele. Co.,22811176775480091,مخابرات ايران,اخابر
IRR1OMID0101,N2,فعاليتهاي كمكي به نهادهاي مالي واسط,فهرست اوليه,OMIX1,Inv. Banking -R,45104299259467366,ح . تامين سرمايه اميد,اميدح
IRR1MKBT0101,N1,مخابرات,تابلو اصلي,MKBX1,Iran Tele Co.-R,45768538238520265,ح . مخابرات ايران,اخابرح
IRO1OFOG0001,N2,خرده فروشي،باستثناي وسايل نقليه موتوري,فهرست اوليه,OFOG1,Ofogh Koorosh,49502666250908008,فروشگاههاي زنجيره اي افق كوروش,افق
IRO1BENC0001,N2,فعاليتهاي كمكي به نهادهاي مالي واسط,فهرست اوليه,BENC1,Other Energy B.,49641108336531623,سايراشخاص بورس انرژي,انرژي3
IRO1BKLA0001,N1,فعاليتهاي كمكي به نهادهاي مالي واسط,تابلو فرعي,BKLA1,Good Exch.Brk.,49869693814643443,كارگزاران بورس كالاي ايران,اكالا
IRO1BENA0001,N2,فعاليتهاي كمكي به نهادهاي مالي واسط,فهرست اوليه,BENA1,Nahad Mali Energy,61725225143026283,نهادهاي مالي بورس انرژي,انرژي1
IRO1ACTV0001,N2,محصولات شيميايي,فهرست اوليه,ACTV1,PadidehShimi Gharn,66991919802409760,پديده شيمي قرن,اكتيو
IRO1BALB0001,N1,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,تابلو اصلي,BALB1,S*Alborz Bimeh,70270965300262393,بيمه البرز,البرز
IRO1BAKH0001,N2,ماشين آلات و دستگاه‌هاي برقي,فهرست اوليه,BAKH1,Bakhtar Cable,751415341879364,كابل‌ باختر,باختر
